"CBSA_FIPS","CBSA_NAME","state_name","state","budg_NIH_cuts","econ_budg_NIH_cuts","jobs_budg_NIH_cuts"
"31163","Sherman County, NE","Nebraska","NE",1023.48570748223,2648.42362631668,0.00941606850883648
"31165","Sioux County, NE","Nebraska","NE",330.860276485792,856.150864490559,0.00304391454366929
"35740","Stanton County, NE","Nebraska","NE",4992.89102185123,12919.8585277996,0.0459345974010313
"31169","Thayer County, NE","Nebraska","NE",47287.1329181418,122362.588090522,0.435041622846905
"31171","Thomas County, NE","Nebraska","NE",16.2130492716879,41.9537101806771,0.000149160053299529
"31173","Thurston County, NE","Nebraska","NE",2467.47198687087,6384.95590073187,0.022700742279212
"31175","Valley County, NE","Nebraska","NE",1583.70056805291,4098.06406750952,0.0145700452260868
"36540","Washington County, NE","Nebraska","NE",264402.876450164,684182.319047052,2.43250646334151
"31179","Wayne County, NE","Nebraska","NE",13935.8170752574,36061.0284289485,0.128209517092368
"25580","Webster County, NE","Nebraska","NE",664.219815277388,1718.76894712659,0.00611082230055197
"31183","Wheeler County, NE","Nebraska","NE",10704.911154976,27700.572087326,0.0984851826257788
"31185","York County, NE","Nebraska","NE",52402.624272128,135599.693467834,0.482104143303578
"21980","Churchill County, NV","Nevada","NV",33730.4637696329,178634.604068772,0.293455034795806
"29820","Clark County, NV","Nevada","NV",2803259.24267487,14845900.3806576,24.3883554112714
"23820","Douglas County, NV","Nevada","NV",73832.521481702,391012.804696651,0.642342936890807
"21220","Elko County, NV","Nevada","NV",23271.3393156789,123243.680051292,0.202460652046406
"32009","Esmeralda County, NV","Nevada","NV",43.724993762801,231.565062433545,0.000380407445736369
"21220","Eureka County, NV","Nevada","NV",3953.44435998811,20937.2148802235,0.0343949659318966
"49080","Humboldt County, NV","Nevada","NV",13791.1124163544,73036.9414126265,0.119982678022284
"32015","Lander County, NV","Nevada","NV",3799.40172696368,20121.4139191704,0.033054795024584
"32017","Lincoln County, NV","Nevada","NV",2054.21743515246,10879.0178725616,0.0178716916858264
"39900","Lyon County, NV","Nevada","NV",94178.6070000616,498764.508193644,0.819353880900536
"32021","Mineral County, NV","Nevada","NV",3415.35461878114,18087.5224321607,0.0297135851833959
"37220","Nye County, NV","Nevada","NV",32641.3826825316,172866.893013216,0.283980029338025
"32027","Pershing County, NV","Nevada","NV",4447.17695929832,23551.9944455441,0.0386904395458954
"39900","Storey County, NV","Nevada","NV",21309.4160668438,112853.446902927,0.185391919781541
"39900","Washoe County, NV","Nevada","NV",5193628.32055546,27505158.098598,45.1845663888325
"32033","White Pine County, NV","Nevada","NV",13855.5390623764,73378.1412396497,0.120543189842675
"16180","Carson City, NV","Nevada","NV",153548.51653644,813184.148435229,1.33587209386703
"29060","Belknap County, NH","New Hampshire","NH",317000.773290961,765355.458166574,2.21900541303673
"33003","Carroll County, NH","New Hampshire","NH",339071.849668925,818643.084559779,2.37350294768247
"28300","Cheshire County, NH","New Hampshire","NH",1658322.13736004,4003794.33163723,11.6082549615203
"33007","Coos County, NH","New Hampshire","NH",150242.209309249,362739.47772454,1.05169546516474
"30150","Grafton County, NH","New Hampshire","NH",11101633.508473,26803391.3989101,77.7114345593113
"31700","Hillsborough County, NH","New Hampshire","NH",6231770.95533411,15045767.4446464,43.6223966873388
"18180","Merrimack County, NH","New Hampshire","NH",1753875.85608876,4234495.85144082,12.2771309926213
"14460","Rockingham County, NH","New Hampshire","NH",5981887.44090105,14442457.5230594,41.8732120863073
"14460","Strafford County, NH","New Hampshire","NH",1183641.2906729,2857741.67969092,8.28548903471027
"30150","Sullivan County, NH","New Hampshire","NH",1276187.01270982,3081180.79864194,8.93330908896873
"12100","Atlantic County, NJ","New Jersey","NJ",1549599.57117009,5039361.73391907,13.6364762262968
"35620","Bergen County, NJ","New Jersey","NJ",25230980.1693824,82052188.4107439,222.032625490565
"37980","Burlington County, NJ","New Jersey","NJ",8986108.00443969,29223193.9508368,79.0777504390692
"37980","Camden County, NJ","New Jersey","NJ",15755613.3408441,51237904.5796466,138.649397399428
"12100","Cape May County, NJ","New Jersey","NJ",536348.571574764,1744227.68173272,4.71986742985793
"47220","Cumberland County, NJ","New Jersey","NJ",685220.03398033,2228363.81914316,6.0299362990269
"35620","Essex County, NJ","New Jersey","NJ",9093662.01789794,29572964.0397261,80.0242257575019
"37980","Gloucester County, NJ","New Jersey","NJ",8005831.16780443,26035293.2369403,70.451314276679
"35620","Hudson County, NJ","New Jersey","NJ",14571610.3063498,47387477.8656218,128.230170695878
