"FIPS","state_name","state","name","budg_NIH_cuts","econ_budg_NIH_cuts","jobs_budg_NIH_cuts"
"06075","California","CA","San Francisco County",93144572.5874223,249933821.472637,819.672238769316
"06077","California","CA","San Joaquin County",7130240.53597239,19132497.102846,62.7461167165571
"06079","California","CA","San Luis Obispo County",1060872.41643728,2846627.44988412,9.33567726464807
"06081","California","CA","San Mateo County",73231500.2245722,196501290.358308,644.437201976235
"06083","California","CA","Santa Barbara County",4729292.70776505,12690059.8336527,41.6177758283324
"06085","California","CA","Santa Clara County",70233093.2523741,188455697.447478,618.051220620892
"06087","California","CA","Santa Cruz County",11916630.6680842,31975765.8360276,104.866349879141
"06089","California","CA","Shasta County",219035.111419207,587734.539039363,1.92750898048902
"06091","California","CA","Sierra County",3402.53741527791,9129.99174595891,0.0299423292544456
"06093","California","CA","Siskiyou County",75537.0546450452,202687.759531068,0.664726080876398
"06095","California","CA","Solano County",14287289.7989316,38336929.7720755,125.728150230598
"06097","California","CA","Sonoma County",7048344.31651422,18912745.8653368,62.0254299853251
"06099","California","CA","Stanislaus County",2925092.96909184,7848870.24138415,25.7408181280082
"06101","California","CA","Sutter County",733313.656087894,1967692.5806074,6.45316017357347
"06103","California","CA","Tehama County",335026.17683989,898972.10696169,2.94823035619103
"06105","California","CA","Trinity County",6677.97039479141,17918.9255378765,0.0587661394741644
"06107","California","CA","Tulare County",767753.462936743,2060104.54082584,6.75623047384333
"06109","California","CA","Tuolumne County",996508.130124627,2673919.45845089,8.76927154509671
"06111","California","CA","Ventura County",7985471.22005934,21427328.3224953,70.2721467365222
"06113","California","CA","Yolo County",20745342.5043698,55665752.5591139,182.559014038454
"06115","California","CA","Yuba County",812623.429912034,2180503.63659666,7.1510861832259
"08001","Colorado","CO","Adams County",8829152.15313212,24729243.9339927,84.7598606700684
"08003","Colorado","CO","Alamosa County",12721.1837383728,35630.2904672181,0.122123363888379
"08005","Colorado","CO","Arapahoe County",20397780.6894667,57131385.3961578,195.818694618881
"08007","Colorado","CO","Archuleta County",26664.566100981,74683.7916108753,0.255979834569418
"08009","Colorado","CO","Baca County",9696.4089903898,27158.3113585879,0.0930855263077421
"08011","Colorado","CO","Bent County",3713.08880423625,10399.8523522966,0.035645652520668
"08013","Colorado","CO","Boulder County",8874718.20760661,24856868.2014949,85.1972947930235
"08014","Colorado","CO","Broomfield County",1624416.39479337,4549767.47263006,15.5943973900163
"08015","Colorado","CO","Chaffee County",72225.450962632,202293.579736752,0.693364329241267
"08017","Colorado","CO","Cheyenne County",533.77817109389,1495.03942968506,0.00512427044250134
"08019","Colorado","CO","Clear Creek County",84775.9262460758,237445.739240735,0.813848891962328
"08021","Colorado","CO","Conejos County",10541.8034288102,29526.1452032818,0.101201312916578
"08023","Colorado","CO","Costilla County",7953.48799529511,22276.6287578317,0.0763534847548331
